timestamp,device_id,stage,pressure,flow,acoustic,pH,tds,turbidity
2026-08-04T02:31:49.506102+00:00,ESP32_Node_1,SENSOR_FAULT,2.247,105.942,4.5,7.266,306.459,1.584
2026-08-04T02:44:49.506102+00:00,ESP32_Node_2,WATER_QUALITY,2.491,106.71,0.772,6.222,302.174,2.381
2026-08-04T03:34:49.506102+00:00,ESP32_Node_3,SENSOR_FAULT,2.673,134.216,0.499,7.053,318.351,20.0
2026-08-04T03:50:49.506102+00:00,ESP32_Node_3,LEAK,1.774,169.075,1.412,6.993,321.827,2.21
2026-08-04T05:41:49.506102+00:00,ESP32_Node_2,WATER_QUALITY,2.528,114.837,0.642,7.172,482.721,2.862
2026-08-04T05:44:49.506102+00:00,ESP32_Node_2,LEAK,1.738,149.589,1.987,6.961,338.237,1.712
2026-08-04T05:48:49.506102+00:00,ESP32_Node_3,NORMAL,2.658,117.379,0.512,7.091,313.868,1.91
2026-08-04T06:29:49.506102+00:00,ESP32_Node_4,NORMAL,2.567,120.702,0.718,7.08,295.055,1.541
2026-08-04T07:35:49.506102+00:00,ESP32_Node_3,NORMAL,2.512,125.045,0.461,7.193,345.892,1.278
2026-08-04T08:41:49.506102+00:00,ESP32_Node_4,LEAK,1.509,182.346,1.691,7.279,333.143,1.979
2026-08-04T09:45:49.506102+00:00,ESP32_Node_3,LEAK,1.47,157.031,2.032,7.241,307.49,1.831
2026-08-04T09:53:49.506102+00:00,ESP32_Node_4,NORMAL,2.83,108.645,0.411,7.09,304.24,1.348
2026-08-04T10:36:49.506102+00:00,ESP32_Node_3,SENSOR_FAULT,2.665,111.951,0.613,7.221,1200.0,1.629
2026-08-04T10:59:49.506102+00:00,ESP32_Node_4,LEAK,1.487,157.3,1.774,6.992,282.09,1.937
2026-08-04T11:06:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.72,114.038,0.893,5.661,347.107,2.513
2026-08-04T11:09:49.506102+00:00,ESP32_Node_1,LEAK,1.773,159.18,1.198,6.976,335.731,1.761
2026-08-04T11:40:49.506102+00:00,ESP32_Node_2,NORMAL,2.563,133.558,0.769,7.31,293.479,1.759
2026-08-04T12:24:49.506102+00:00,ESP32_Node_3,LEAK,1.785,174.617,1.348,7.221,323.762,2.065
2026-08-04T12:53:49.506102+00:00,ESP32_Node_2,LEAK,1.962,131.987,2.068,7.144,283.134,2.485
2026-08-04T13:13:49.506102+00:00,ESP32_Node_1,NORMAL,2.624,136.37,0.569,7.109,332.968,1.179
2026-08-04T13:41:49.506102+00:00,ESP32_Node_4,SENSOR_FAULT,2.497,148.184,0.449,11.5,317.128,1.694
2026-08-04T14:21:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.416,114.623,0.43,5.881,376.985,2.496
2026-08-04T14:26:49.506102+00:00,ESP32_Node_4,EARLY_ANOMALY,2.303,120.506,1.005,6.995,279.229,1.0
2026-08-04T14:41:49.506102+00:00,ESP32_Node_2,WATER_QUALITY,2.636,129.804,0.451,7.212,532.119,2.162
2026-08-04T15:05:49.506102+00:00,ESP32_Node_1,SENSOR_FAULT,0.0,127.839,0.635,7.017,332.041,1.857
2026-08-04T15:07:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.573,131.857,0.703,7.116,465.748,2.06
2026-08-04T15:15:49.506102+00:00,ESP32_Node_2,NORMAL,2.446,125.776,0.737,7.223,294.415,2.036
2026-08-04T15:19:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.212,122.71,0.542,7.255,447.341,2.841
2026-08-04T15:39:49.506102+00:00,ESP32_Node_1,EARLY_ANOMALY,2.183,156.171,0.846,6.952,334.508,2.83
2026-08-04T16:14:49.506102+00:00,ESP32_Node_4,NORMAL,2.681,127.6,0.608,7.138,321.326,1.63
2026-08-04T16:20:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.182,140.256,0.53,7.275,358.717,4.07
2026-08-04T16:30:49.506102+00:00,ESP32_Node_4,NORMAL,2.467,114.301,0.483,7.219,298.724,1.555
2026-08-04T17:07:49.506102+00:00,ESP32_Node_2,LEAK,1.928,162.407,1.84,7.161,326.041,2.296
2026-08-04T17:37:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.7,122.812,0.573,8.211,362.609,2.54
2026-08-04T17:47:49.506102+00:00,ESP32_Node_4,LEAK,1.455,162.413,1.684,7.132,307.34,1.478
2026-08-04T17:53:49.506102+00:00,ESP32_Node_3,NORMAL,2.518,118.323,0.586,7.075,318.953,1.331
2026-08-04T18:07:49.506102+00:00,ESP32_Node_3,NORMAL,2.405,116.167,0.6,7.03,302.875,1.604
2026-08-04T19:58:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.276,124.807,0.699,6.468,380,7.12
2026-08-04T20:24:49.506102+00:00,ESP32_Node_1,NORMAL,2.77,124.843,0.396,7.083,312.429,1.339
2026-08-04T20:49:49.506102+00:00,ESP32_Node_1,NORMAL,2.605,143.303,0.604,7.206,318.2,1.831
2026-08-04T21:14:49.506102+00:00,ESP32_Node_3,LEAK,1.76,150.927,1.268,7.066,353.628,2.168
2026-08-04T21:35:49.506102+00:00,ESP32_Node_2,EARLY_ANOMALY,2.123,141.443,1.48,7.151,292.651,2.43
2026-08-04T21:57:49.506102+00:00,ESP32_Node_3,SENSOR_FAULT,2.595,107.685,0.623,13.0,299.102,1.822
2026-08-04T22:17:49.506102+00:00,ESP32_Node_3,LEAK,1.981,193.062,1.493,7.305,278.336,2.001
2026-08-04T22:33:49.506102+00:00,ESP32_Node_1,SENSOR_FAULT,2.684,137.002,0.0,7.119,300.428,1.329
2026-08-04T22:54:49.506102+00:00,ESP32_Node_1,NORMAL,2.547,111.65,0.454,7.194,285.908,2.108
2026-08-04T23:04:49.506102+00:00,ESP32_Node_4,NORMAL,2.613,127.033,0.546,6.972,320.762,1.463
2026-08-04T23:29:49.506102+00:00,ESP32_Node_4,NORMAL,2.563,111.76,0.641,7.168,331.546,1.431
2026-08-04T23:41:49.506102+00:00,ESP32_Node_2,WATER_QUALITY,2.785,96.961,0.762,6.172,274.481,3.139
2026-08-04T23:54:49.506102+00:00,ESP32_Node_1,NORMAL,2.613,132.057,0.442,7.2,317.419,2.096
2026-08-05T00:04:49.506102+00:00,ESP32_Node_3,NORMAL,2.783,129.659,0.607,7.213,288.516,1.974
2026-08-05T00:24:49.506102+00:00,ESP32_Node_4,SENSOR_FAULT,2.425,104.084,7.0,7.062,291.684,1.684
2026-08-05T00:46:49.506102+00:00,ESP32_Node_2,LEAK,1.654,213.988,1.319,7.059,316.912,1.882
2026-08-05T02:35:49.506102+00:00,ESP32_Node_1,NORMAL,2.51,117.2,0.339,7.032,316.158,2.163
2026-08-05T02:55:49.506102+00:00,ESP32_Node_3,LEAK,1.5,216.118,2.3,7.405,307.306,1.561
2026-08-05T03:02:49.506102+00:00,ESP32_Node_2,LEAK,1.662,167.005,1.424,7.011,295.82,1.499
2026-08-05T03:39:49.506102+00:00,ESP32_Node_1,LEAK,1.956,162.311,1.42,7.234,261.651,2.448
2026-08-05T04:20:49.506102+00:00,ESP32_Node_1,WATER_QUALITY,2.506,138.596,0.649,7.019,328.077,7.299
2026-08-05T04:23:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.516,137.212,0.534,8.861,317.413,2.545
2026-08-05T04:31:49.506102+00:00,ESP32_Node_4,EARLY_ANOMALY,2.592,158.53,1.075,7.315,287.65,2.416
2026-08-05T05:20:49.506102+00:00,ESP32_Node_4,NORMAL,2.306,135.581,0.627,7.207,351.089,1.886
2026-08-05T05:24:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.501,125.866,0.767,8.575,304.537,2.568
2026-08-05T06:20:49.506102+00:00,ESP32_Node_1,NORMAL,2.485,135.559,0.648,7.111,279.783,1.842
2026-08-05T06:30:49.506102+00:00,ESP32_Node_2,NORMAL,2.505,103.836,0.741,7.248,302.754,2.046
2026-08-05T06:35:49.506102+00:00,ESP32_Node_1,EARLY_ANOMALY,2.315,131.25,0.981,7.256,294.435,2.365
2026-08-05T06:46:49.506102+00:00,ESP32_Node_4,NORMAL,2.528,114.354,0.367,7.168,332.372,2.142
2026-08-05T06:48:49.506102+00:00,ESP32_Node_3,EARLY_ANOMALY,2.103,123.878,0.65,7.146,327.654,1.71
2026-08-05T06:57:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.622,141.757,0.616,6.241,409.784,7.781
2026-08-05T07:07:49.506102+00:00,ESP32_Node_3,EARLY_ANOMALY,2.247,139.507,0.843,6.974,327.576,1.834
2026-08-05T07:15:49.506102+00:00,ESP32_Node_3,NORMAL,2.707,113.268,0.649,7.003,280.16,1.793
2026-08-05T07:18:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.727,132.909,0.49,6.424,413.131,3.5
2026-08-05T07:28:49.506102+00:00,ESP32_Node_1,NORMAL,2.264,126.73,0.933,7.237,288.075,1.659
2026-08-05T07:42:49.506102+00:00,ESP32_Node_4,NORMAL,2.601,141.77,0.451,7.171,314.444,1.459
2026-08-05T07:56:49.506102+00:00,ESP32_Node_1,SENSOR_FAULT,5.5,113.37,0.735,7.148,343.576,0.8
2026-08-05T08:00:49.506102+00:00,ESP32_Node_1,WATER_QUALITY,2.398,114.539,0.573,6.201,459.707,6.448
2026-08-05T08:04:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.248,120.594,0.504,6.425,490.5,6.101
2026-08-05T08:17:49.506102+00:00,ESP32_Node_4,NORMAL,2.325,118.287,0.645,7.175,294.967,1.878
2026-08-05T08:58:49.506102+00:00,ESP32_Node_3,NORMAL,2.34,134.517,0.62,7.2,309.199,1.623
2026-08-05T09:19:49.506102+00:00,ESP32_Node_2,SENSOR_FAULT,2.542,0.0,0.524,7.101,321.075,2.568
2026-08-05T09:28:49.506102+00:00,ESP32_Node_2,NORMAL,2.623,110.826,0.626,7.191,293.717,2.031
2026-08-05T09:35:49.506102+00:00,ESP32_Node_2,EARLY_ANOMALY,2.6,144.505,1.069,7.278,354.04,2.539
2026-08-05T09:40:49.506102+00:00,ESP32_Node_4,SENSOR_FAULT,5.5,126.294,0.614,7.122,322.342,1.69
2026-08-05T10:16:49.506102+00:00,ESP32_Node_3,NORMAL,2.319,116.391,0.707,7.211,332.893,1.729
2026-08-05T11:32:49.506102+00:00,ESP32_Node_3,NORMAL,2.619,111.194,0.425,7.109,311.518,1.704
2026-08-05T11:40:49.506102+00:00,ESP32_Node_4,LEAK,2.012,159.058,1.901,7.021,316.541,2.156
2026-08-05T12:14:49.506102+00:00,ESP32_Node_2,EARLY_ANOMALY,2.305,126.274,1.091,7.34,328.498,3.378
2026-08-05T12:32:49.506102+00:00,ESP32_Node_2,NORMAL,2.465,116.831,0.527,7.129,303.293,1.648
2026-08-05T13:20:49.506102+00:00,ESP32_Node_2,SENSOR_FAULT,2.1,140.845,0.713,3.2,333.467,1.643
2026-08-05T13:33:49.506102+00:00,ESP32_Node_1,LEAK,1.904,182.151,1.245,7.106,294.268,2.413
2026-08-05T13:39:49.506102+00:00,ESP32_Node_4,SENSOR_FAULT,2.534,127.15,0.559,6.989,332.821,0.05
2026-08-05T14:03:49.506102+00:00,ESP32_Node_1,LEAK,1.631,162.682,1.869,7.039,332.818,2.002
2026-08-05T14:08:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.859,106.916,0.769,6.205,269.154,2.341
2026-08-05T14:47:49.506102+00:00,ESP32_Node_2,SENSOR_FAULT,2.6,0.0,0.538,7.184,280.979,1.852
2026-08-05T15:12:49.506102+00:00,ESP32_Node_2,NORMAL,2.508,125.23,0.628,7.23,300.752,1.281
2026-08-05T15:39:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.35,91.666,0.467,6.47,476.019,5.73
2026-08-05T16:42:49.506102+00:00,ESP32_Node_3,LEAK,1.935,154.112,1.537,7.229,288.871,2.71
2026-08-05T17:47:49.506102+00:00,ESP32_Node_1,WATER_QUALITY,2.646,123.476,0.717,7.482,567.501,1.689
2026-08-05T18:17:49.506102+00:00,ESP32_Node_1,NORMAL,2.777,132.301,0.49,7.163,324.86,1.405
2026-08-05T18:59:49.506102+00:00,ESP32_Node_4,NORMAL,2.722,97.515,0.564,7.079,314.958,1.467
2026-08-05T19:15:49.506102+00:00,ESP32_Node_4,NORMAL,2.85,107.791,0.77,7.173,304.161,1.968
2026-08-05T21:30:49.506102+00:00,ESP32_Node_4,NORMAL,2.658,134.835,0.382,7.019,329.914,2.123
2026-08-05T21:36:49.506102+00:00,ESP32_Node_3,NORMAL,2.43,113.41,0.477,7.117,301.33,1.492
2026-08-05T21:45:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.677,134.417,0.666,6.128,292.681,2.342
2026-08-05T22:04:49.506102+00:00,ESP32_Node_2,LEAK,1.738,189.216,1.678,7.263,253.961,1.973
2026-08-05T22:29:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.8,124.643,0.864,5.939,397.53,1.891
2026-08-05T22:40:49.506102+00:00,ESP32_Node_3,SENSOR_FAULT,2.462,120.951,0.607,7.066,1200.0,1.76
2026-08-05T22:44:49.506102+00:00,ESP32_Node_2,SENSOR_FAULT,2.659,122.221,0.558,11.5,327.804,1.4
2026-08-05T22:45:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.54,117.22,0.694,6.213,306.953,3.005
2026-08-05T22:56:49.506102+00:00,ESP32_Node_2,NORMAL,2.582,134.247,0.666,7.179,341.579,1.21
2026-08-05T23:20:49.506102+00:00,ESP32_Node_4,SENSOR_FAULT,2.563,5.0,0.45,7.077,260.693,2.71
2026-08-05T23:44:49.506102+00:00,ESP32_Node_1,SENSOR_FAULT,2.381,133.364,0.772,7.171,250,0.0
2026-08-06T00:42:49.506102+00:00,ESP32_Node_2,EARLY_ANOMALY,2.423,167.551,1.023,7.317,264.251,1.588
2026-08-06T00:58:49.506102+00:00,ESP32_Node_3,NORMAL,2.523,114.102,0.644,7.065,330.031,1.372
2026-08-06T01:01:49.506102+00:00,ESP32_Node_1,NORMAL,2.492,114.503,0.686,6.991,315.918,1.599
2026-08-06T01:08:49.506102+00:00,ESP32_Node_2,LEAK,1.716,182.736,1.371,6.977,346.19,1.652
2026-08-06T01:37:49.506102+00:00,ESP32_Node_1,WATER_QUALITY,2.53,125.599,0.761,6.138,389.612,5.43
2026-08-06T02:29:49.506102+00:00,ESP32_Node_2,NORMAL,2.145,104.353,0.335,7.301,323.571,1.689
2026-08-06T02:42:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.472,133.266,0.64,7.064,340.054,6.126
2026-08-06T02:48:49.506102+00:00,ESP32_Node_2,NORMAL,2.781,127.561,0.378,7.249,281.801,1.631
2026-08-06T03:04:49.506102+00:00,ESP32_Node_2,LEAK,1.724,191.011,1.136,6.975,334.542,2.136
2026-08-06T03:14:49.506102+00:00,ESP32_Node_2,NORMAL,2.52,140.937,0.731,7.134,314.77,1.8
2026-08-06T03:48:49.506102+00:00,ESP32_Node_1,WATER_QUALITY,2.08,108.643,0.685,6.348,398.421,6.445
2026-08-06T04:41:49.506102+00:00,ESP32_Node_2,WATER_QUALITY,2.527,138.541,0.613,6.943,380,4.092
2026-08-06T05:05:49.506102+00:00,ESP32_Node_3,NORMAL,2.294,116.457,0.574,7.115,315.663,2.114
2026-08-06T05:13:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.511,112.981,0.611,6.867,484.655,5.915
2026-08-06T05:28:49.506102+00:00,ESP32_Node_2,NORMAL,2.83,136.017,0.395,7.164,282.009,1.882
2026-08-06T05:43:49.506102+00:00,ESP32_Node_2,NORMAL,2.587,121.246,0.48,7.255,305.487,2.097
2026-08-06T06:15:49.506102+00:00,ESP32_Node_3,NORMAL,2.339,116.742,0.714,7.392,302.406,2.14
2026-08-06T06:17:49.506102+00:00,ESP32_Node_1,EARLY_ANOMALY,2.313,122.765,1.1,7.148,365.185,1.829
2026-08-06T06:35:49.506102+00:00,ESP32_Node_4,SENSOR_FAULT,0.05,104.823,0.726,7.176,329.863,1.553
2026-08-06T06:49:49.506102+00:00,ESP32_Node_1,SENSOR_FAULT,2.588,134.281,0.671,7.165,1200.0,1.329
2026-08-06T07:13:49.506102+00:00,ESP32_Node_1,NORMAL,2.73,118.82,0.533,7.211,330.776,2.077
2026-08-06T07:49:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.489,132.207,0.463,8.52,329.212,2.567
2026-08-06T09:33:49.506102+00:00,ESP32_Node_4,NORMAL,2.144,145.666,0.539,7.333,313.651,1.819
2026-08-06T10:08:49.506102+00:00,ESP32_Node_2,EARLY_ANOMALY,2.281,147.935,1.064,7.126,315.53,2.437
2026-08-06T10:25:49.506102+00:00,ESP32_Node_2,LEAK,1.807,162.92,1.861,6.968,313.781,1.882
2026-08-06T10:36:49.506102+00:00,ESP32_Node_4,NORMAL,2.639,136.912,0.557,7.092,305.331,2.052
2026-08-06T10:42:49.506102+00:00,ESP32_Node_2,SENSOR_FAULT,2.444,350.0,0.521,7.089,346.965,1.667
2026-08-06T10:50:49.506102+00:00,ESP32_Node_4,NORMAL,2.406,123.633,0.441,7.089,315.406,2.176
2026-08-06T11:01:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.466,100.986,0.438,6.527,462.288,7.31
2026-08-06T11:24:49.506102+00:00,ESP32_Node_3,NORMAL,2.562,124.825,0.665,7.173,340.209,1.653
2026-08-06T11:34:49.506102+00:00,ESP32_Node_4,NORMAL,2.383,128.233,0.479,7.184,268.165,2.065
2026-08-06T12:55:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.502,127.728,0.738,8.278,341.753,2.445
2026-08-06T13:36:49.506102+00:00,ESP32_Node_2,SENSOR_FAULT,2.633,116.329,0.522,11.5,290.503,1.141
2026-08-06T14:31:49.506102+00:00,ESP32_Node_4,SENSOR_FAULT,2.599,99.073,0.539,3.2,314.423,1.6
2026-08-06T14:40:49.506102+00:00,ESP32_Node_4,SENSOR_FAULT,2.728,500.0,0.605,7.007,288.29,1.968
2026-08-06T14:56:49.506102+00:00,ESP32_Node_1,LEAK,1.273,143.577,1.628,7.171,330.832,1.992
2026-08-06T15:12:49.506102+00:00,ESP32_Node_3,NORMAL,2.563,137.53,0.676,7.23,310.494,1.513
2026-08-06T15:12:49.506102+00:00,ESP32_Node_4,NORMAL,2.207,91.328,0.512,7.085,287.975,2.5
2026-08-06T15:29:49.506102+00:00,ESP32_Node_1,NORMAL,2.673,141.017,0.568,7.169,285.279,2.554
2026-08-06T15:38:49.506102+00:00,ESP32_Node_1,NORMAL,2.384,127.751,0.506,7.064,307.404,1.437
2026-08-06T15:56:49.506102+00:00,ESP32_Node_4,LEAK,1.486,125,1.337,7.242,335.008,2.457
2026-08-06T16:36:49.506102+00:00,ESP32_Node_2,NORMAL,2.489,124.427,0.695,7.163,338.135,1.413
2026-08-06T17:25:49.506102+00:00,ESP32_Node_2,EARLY_ANOMALY,2.288,131.312,0.66,7.071,318.415,1.958
2026-08-06T17:26:49.506102+00:00,ESP32_Node_4,NORMAL,2.692,115.711,0.729,7.162,299.607,1.39
2026-08-06T17:48:49.506102+00:00,ESP32_Node_3,LEAK,1.982,179.892,1.868,6.951,366.307,1.994
2026-08-06T17:51:49.506102+00:00,ESP32_Node_2,LEAK,2.15,182.991,1.784,7.096,329.553,2.448
2026-08-06T18:21:49.506102+00:00,ESP32_Node_2,NORMAL,2.689,113.484,0.434,7.181,301.143,2.018
2026-08-06T18:46:49.506102+00:00,ESP32_Node_2,NORMAL,2.358,133.032,0.633,7.202,318.761,1.571
2026-08-06T20:11:49.506102+00:00,ESP32_Node_2,NORMAL,2.801,122.835,0.595,7.159,317.327,1.94
2026-08-06T21:03:49.506102+00:00,ESP32_Node_4,LEAK,1.745,139.876,1.546,7.096,321.043,2.039
2026-08-06T21:08:49.506102+00:00,ESP32_Node_1,NORMAL,2.527,118.956,0.608,7.371,331.021,1.588
2026-08-06T21:26:49.506102+00:00,ESP32_Node_2,NORMAL,2.465,119.764,0.524,7.181,310.647,1.986
2026-08-06T22:19:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.669,110.362,0.584,6.344,318.307,1.984
2026-08-06T22:27:49.506102+00:00,ESP32_Node_3,NORMAL,2.625,130.207,0.533,7.025,317.801,1.608
2026-08-06T22:27:49.506102+00:00,ESP32_Node_3,NORMAL,2.507,120.791,0.483,7.21,272.784,0.94
2026-08-06T22:37:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.59,130.542,0.361,7.175,503.684,1.923
2026-08-06T23:08:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.42,106.375,0.616,7.002,546.755,1.8
2026-08-07T00:11:49.506102+00:00,ESP32_Node_2,SENSOR_FAULT,2.706,500.0,0.567,7.249,319.5,1.448
2026-08-07T01:09:49.506102+00:00,ESP32_Node_3,LEAK,1.551,164.557,1.524,7.031,298.672,2.156
2026-08-07T01:11:49.506102+00:00,ESP32_Node_2,LEAK,1.833,161.328,2.082,7.19,287.538,1.844
2026-08-07T01:19:49.506102+00:00,ESP32_Node_2,NORMAL,2.56,112.405,0.716,7.244,267.027,1.507
2026-08-07T01:23:49.506102+00:00,ESP32_Node_2,NORMAL,2.392,117.775,0.496,7.089,337.151,2.073
2026-08-07T01:54:49.506102+00:00,ESP32_Node_4,SENSOR_FAULT,2.576,5.0,0.502,7.244,310.141,1.99
2026-08-07T02:04:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.521,121.663,0.509,7.09,250,7.93
2026-08-07T02:05:49.506102+00:00,ESP32_Node_3,LEAK,1.788,171.13,1.551,7.107,299.891,1.707
2026-08-07T02:42:49.506102+00:00,ESP32_Node_3,NORMAL,2.288,103.077,0.533,7.147,264.134,1.917
2026-08-07T03:03:49.506102+00:00,ESP32_Node_4,NORMAL,2.415,111.225,0.783,7.096,277.925,1.079
2026-08-07T03:05:49.506102+00:00,ESP32_Node_1,WATER_QUALITY,2.95,108.77,0.2,6.031,489.978,4.143
2026-08-07T03:16:49.506102+00:00,ESP32_Node_4,NORMAL,2.448,100.426,0.733,7.231,310.299,1.597
2026-08-07T03:23:49.506102+00:00,ESP32_Node_3,SENSOR_FAULT,2.631,90,0.439,11.5,323.155,2.016
2026-08-07T03:27:49.506102+00:00,ESP32_Node_4,WATER_QUALITY,2.789,123.606,0.778,6.113,349.754,3.07
2026-08-07T03:43:49.506102+00:00,ESP32_Node_2,NORMAL,2.642,118.879,0.476,7.268,312.645,1.195
2026-08-07T03:57:49.506102+00:00,ESP32_Node_1,NORMAL,2.539,142.763,0.366,7.101,299.481,1.67
2026-08-07T04:32:49.506102+00:00,ESP32_Node_3,WATER_QUALITY,2.444,120.169,0.459,9.0,383.152,1.336
2026-08-07T04:45:49.506102+00:00,ESP32_Node_4,NORMAL,2.568,115.97,0.285,7.066,291.762,1.869
2026-08-07T04:52:49.506102+00:00,ESP32_Node_2,NORMAL,2.587,124.85,0.777,7.23,305.148,1.676
2026-08-07T06:33:49.506102+00:00,ESP32_Node_3,NORMAL,2.572,130.378,0.704,7.242,303.688,1.869
2026-08-07T06:54:49.506102+00:00,ESP32_Node_4,NORMAL,2.626,111.433,0.439,7.22,304.9,1.57
2026-08-07T07:21:49.506102+00:00,ESP32_Node_1,NORMAL,2.749,146.069,0.536,7.147,340.04,1.908
